iter	Logloss
0	0.6827293412
1	0.6726449393
2	0.6635476192
3	0.6546555523
4	0.6463609004
5	0.6387624682
6	0.6315917255
7	0.6250041166
8	0.6190524322
9	0.6134089472
10	0.6082033455
11	0.6030428266
12	0.5985130126
13	0.5941985201
14	0.5899001919
15	0.5861840523
16	0.5825552675
17	0.579076328
18	0.5757921745
19	0.5727686733
20	0.5699853924
21	0.5673009878
22	0.5648815879
23	0.5624855721
24	0.5602766798
25	0.5582388054
26	0.5562888968
27	0.5544407648
28	0.5524958555
29	0.5507741945
30	0.5490508153
31	0.5475517048
32	0.546142875
33	0.5449259532
34	0.5435225643
35	0.5421545079
36	0.5409912461
37	0.5399343791
38	0.5388048539
39	0.5377644201
40	0.5367066915
41	0.5358801299
42	0.5349258346
43	0.5341409421
44	0.5332803956
45	0.5324283642
46	0.5315488507
47	0.5308759246
48	0.530082063
49	0.5293929224
50	0.5287423637
51	0.5281374859
52	0.5274965531
53	0.5268593856
54	0.52625153
55	0.525748561
56	0.5252047461
57	0.5246573837
58	0.5242035305
59	0.5237033086
60	0.5232350024
61	0.5227911235
62	0.5223384872
63	0.5218452963
64	0.5214018553
65	0.5209964189
66	0.5206133608
67	0.5202129149
68	0.5198231779
69	0.5194507658
70	0.5191033062
71	0.5187535414
72	0.5184100627
73	0.5180937491
74	0.5178373115
75	0.5175906346
76	0.5173125737
77	0.5170274178
78	0.5167887902
79	0.5165205303
80	0.5163462913
81	0.5160680117
82	0.5158020195
83	0.5155759148
84	0.5153575524
85	0.5151791538
86	0.5149851429
87	0.5147529176
88	0.5145545615
89	0.5143834199
90	0.5142021617
91	0.5139931352
92	0.5138324221
93	0.5136525821
94	0.5135212429
95	0.5133635481
96	0.5131743877
97	0.5130324052
98	0.5128622254
99	0.5127221146
100	0.5125705528
101	0.5124361945
102	0.5122473166
103	0.5120832473
104	0.5119394132
105	0.5117674728
106	0.5116549428
107	0.5115128034
108	0.5113628926
109	0.5112119546
110	0.5110854444
111	0.5109692431
112	0.5108305715
113	0.510720086
114	0.5106169645
115	0.5105012512
116	0.5104045052
117	0.5103035653
118	0.5102015024
119	0.5100969676
120	0.510010959
121	0.5099217655
122	0.5098297715
123	0.5097088417
124	0.5096036607
125	0.5095140139
126	0.5094126591
127	0.5093118906
128	0.5092496801
129	0.5091502347
130	0.5090529821
131	0.5089650421
132	0.508867706
133	0.5087992236
134	0.5087271466
135	0.5086260187
136	0.5085324537
137	0.5084417464
138	0.5083781397
139	0.5082895905
140	0.5082132498
141	0.5081495931
142	0.5080631219
143	0.5079796705
144	0.5078857267
145	0.5078069902
146	0.5077327683
147	0.5076594984
148	0.5075754896
149	0.5075085952
150	0.507455514
151	0.5073792429
152	0.5073229508
153	0.5072498439
154	0.5071835879
155	0.5071363763
156	0.5070833771
157	0.507024817
158	0.5069503684
159	0.5068956151
160	0.5068109157
161	0.5067581508
162	0.5066977874
163	0.50664041
164	0.5065980392
165	0.5065239718
166	0.5064545234
167	0.5064028048
168	0.5063452172
169	0.5062755924
170	0.5062280221
171	0.5061789069
172	0.5061076083
173	0.5060602164
174	0.5060027149
175	0.5059474621
176	0.5058875098
177	0.5058360464
178	0.5057753952
179	0.5057072017
180	0.5056498517
181	0.5055897572
182	0.5055614306
183	0.5054938008
184	0.5054433945
185	0.5054106303
186	0.505355758
187	0.5053241337
188	0.5052474659
189	0.5051973145
190	0.5051465653
191	0.5050915337
192	0.5050467853
193	0.5050010101
194	0.5049609675
195	0.504918141
196	0.5048721114
197	0.5048062377
198	0.5047668103
199	0.5047127277
200	0.5046727233
201	0.5046432585
202	0.5046087929
203	0.5045630727
204	0.504514649
