iter	Passed	Remaining
0	150	149955
1	163	81796
2	177	59035
3	192	47874
4	206	41032
5	221	36625
6	234	33265
7	247	30729
8	261	28808
9	276	27342
10	289	26035
11	302	24923
12	316	24041
13	330	23260
14	344	22595
15	357	21976
16	371	21454
17	384	20976
18	397	20536
19	412	20198
20	426	19903
21	441	19647
22	456	19371
23	470	19126
24	484	18887
25	498	18690
26	513	18517
27	529	18381
28	544	18217
29	559	18080
30	573	17932
31	587	17757
32	601	17635
33	616	17528
34	631	17410
35	645	17291
36	661	17209
37	676	17113
38	692	17062
39	708	17000
40	722	16897
41	736	16802
42	750	16713
43	765	16638
44	779	16544
45	793	16458
46	807	16379
47	821	16299
48	836	16229
49	851	16173
50	865	16102
51	879	16033
52	894	15984
53	907	15901
54	921	15839
55	936	15785
56	950	15723
57	965	15679
58	979	15618
59	993	15559
60	1009	15536
61	1022	15476
62	1036	15422
63	1052	15392
64	1065	15333
65	1080	15289
66	1094	15243
67	1108	15196
68	1121	15136
69	1135	15091
70	1150	15050
71	1164	15004
72	1178	14964
73	1192	14924
74	1206	14876
75	1221	14845
76	1235	14804
77	1250	14785
78	1271	14823
79	1287	14810
80	1307	14831
81	1326	14845
82	1342	14836
83	1359	14825
84	1375	14803
85	1392	14802
86	1409	14794
87	1425	14777
88	1443	14772
89	1460	14770
90	1476	14751
91	1492	14730
92	1506	14695
93	1520	14650
94	1533	14610
95	1548	14579
96	1562	14541
97	1576	14510
98	1590	14478
99	1605	14449
100	1619	14416
101	1633	14385
102	1648	14358
103	1664	14338
104	1680	14320
105	1695	14296
106	1709	14268
107	1724	14242
108	1737	14199
109	1753	14190
110	1768	14161
111	1782	14134
112	1797	14109
113	1811	14081
114	1826	14058
115	1841	14032
116	1855	14002
117	1869	13974
118	1882	13938
119	1896	13908
120	1910	13878
121	1923	13843
122	1937	13812
123	1952	13794
124	1966	13764
125	1979	13732
126	1994	13710
127	2007	13679
128	2021	13649
129	2036	13626
130	2049	13597
131	2065	13582
132	2079	13556
133	2093	13529
134	2106	13495
135	2120	13469
136	2134	13447
137	2149	13427
138	2163	13402
139	2178	13380
140	2193	13361
141	2208	13343
142	2222	13316
143	2237	13299
144	2253	13285
145	2267	13262
146	2281	13240
147	2296	13217
148	2309	13193
149	2324	13174
150	2339	13153
151	2353	13128
152	2366	13102
153	2380	13076
154	2394	13056
155	2408	13032
156	2422	13007
157	2436	12983
158	2451	12968
159	2466	12948
160	2480	12924
161	2494	12903
162	2508	12882
163	2523	12866
164	2539	12849
165	2553	12830
166	2567	12807
167	2582	12788
168	2596	12766
169	2611	12749
170	2625	12730
171	2640	12710
172	2656	12696
173	2670	12677
174	2684	12656
175	2700	12641
176	2714	12620
177	2729	12605
178	2743	12584
179	2757	12559
180	2770	12537
181	2784	12515
182	2797	12491
183	2814	12483
184	2831	12473
185	2846	12457
186	2862	12444
187	2875	12419
188	2889	12398
189	2903	12377
190	2916	12353
191	2930	12332
192	2944	12312
193	2958	12292
194	2971	12267
195	2986	12249
196	2999	12226
197	3013	12207
198	3028	12189
199	3042	12171
200	3056	12149
201	3069	12125
202	3083	12104
203	3096	12081
204	3109	12058
205	3123	12040
206	3136	12014
207	3149	11994
208	3163	11972
209	3177	11951
210	3188	11921
211	3202	11902
212	3216	11883
213	3230	11865
214	3244	11846
215	3258	11826
216	3272	11809
217	3286	11789
218	3300	11769
219	3314	11750
220	3329	11735
221	3342	11715
222	3357	11699
223	3372	11684
224	3389	11674
225	3403	11657
226	3418	11642
227	3434	11630
228	3449	11615
229	3464	11599
230	3479	11584
231	3494	11566
232	3508	11550
233	3524	11536
234	3538	11520
235	3553	11503
236	3567	11485
237	3580	11464
238	3594	11445
239	3608	11426
240	3622	11407
241	3638	11396
242	3652	11378
243	3665	11357
244	3679	11340
245	3693	11320
246	3707	11302
247	3722	11287
248	3733	11259
249	3746	11239
250	3760	11222
251	3774	11202
252	3788	11184
253	3802	11168
254	3817	11152
255	3832	11139
256	3847	11123
257	3861	11106
258	3875	11088
259	3890	11074
260	3906	11059
261	3922	11049
262	3938	11035
263	3953	11023
264	3969	11009
265	3985	10996
266	4000	10983
267	4018	10975
268	4035	10966
269	4051	10955
270	4066	10938
271	4081	10923
272	4095	10905
273	4109	10888
274	4123	10870
275	4137	10852
276	4151	10835
277	4165	10817
278	4179	10800
279	4192	10780
280	4207	10764
281	4222	10751
282	4236	10733
283	4250	10715
284	4264	10698
285	4277	10678
286	4291	10660
287	4304	10642
288	4318	10623
289	4332	10606
290	4345	10588
291	4359	10570
292	4375	10557
293	4388	10539
294	4402	10520
295	4417	10506
296	4431	10489
297	4444	10469
298	4458	10453
299	4473	10437
300	4487	10420
301	4501	10404
302	4515	10386
303	4528	10368
304	4543	10352
305	4556	10334
306	4570	10316
307	4584	10300
308	4598	10284
309	4613	10268
310	4629	10255
311	4643	10238
312	4656	10221
313	4671	10205
314	4685	10188
315	4698	10170
316	4713	10156
317	4728	10140
318	4742	10124
319	4755	10105
320	4769	10088
321	4785	10076
322	4799	10059
323	4813	10043
324	4829	10029
325	4843	10013
326	4857	9997
327	4871	9981
328	4886	9965
329	4900	9949
330	4914	9933
331	4927	9915
332	4941	9897
333	4955	9881
334	4970	9866
335	4984	9850
336	4998	9834
337	5012	9817
338	5025	9799
339	5039	9782
340	5053	9766
341	5066	9748
342	5080	9730
343	5094	9714
344	5107	9697
345	5121	9680
346	5135	9664
347	5149	9648
348	5165	9634
349	5178	9617
350	5192	9601
351	5207	9586
352	5222	9571
353	5237	9556
354	5251	9541
355	5265	9525
356	5281	9512
357	5295	9497
358	5310	9481
359	5324	9465
360	5338	9449
361	5352	9434
362	5367	9418
363	5380	9401
364	5395	9386
365	5409	9370
366	5423	9354
367	5437	9338
368	5451	9322
369	5465	9306
370	5480	9291
371	5494	9275
372	5507	9257
373	5522	9242
374	5536	9228
375	5551	9213
376	5566	9198
377	5580	9182
378	5594	9167
379	5609	9152
380	5624	9138
381	5638	9121
382	5653	9106
383	5666	9090
384	5680	9073
385	5694	9058
386	5708	9042
387	5723	9027
388	5737	9012
389	5751	8996
390	5766	8981
391	5780	8966
392	5794	8949
393	5807	8932
394	5822	8918
395	5835	8900
396	5848	8883
397	5861	8866
398	5875	8850
399	5890	8836
400	5904	8819
401	5917	8803
402	5931	8786
403	5945	8771
404	5959	8754
405	5974	8740
406	5988	8725
407	6001	8708
408	6014	8691
409	6029	8676
410	6047	8666
411	6064	8655
412	6081	8643
413	6096	8628
414	6109	8612
415	6124	8597
416	6138	8582
417	6152	8566
418	6166	8550
419	6180	8535
420	6194	8519
421	6207	8502
422	6221	8487
423	6236	8471
424	6248	8454
425	6263	8439
426	6277	8423
427	6292	8408
428	6306	8393
429	6319	8376
430	6333	8361
431	6347	8345
432	6360	8329
433	6374	8313
434	6389	8298
435	6402	8282
436	6416	8266
437	6430	8250
438	6447	8239
439	6466	8229
440	6483	8218
441	6503	8210
442	6521	8199
443	6537	8186
444	6553	8173
445	6570	8161
446	6585	8147
447	6603	8136
448	6619	8122
449	6635	8110
450	6652	8097
451	6668	8084
452	6683	8070
453	6696	8053
454	6711	8038
455	6725	8023
456	6740	8008
457	6755	7994
458	6769	7978
459	6783	7962
460	6797	7947
461	6811	7931
462	6825	7916
463	6840	7901
464	6854	7886
465	6869	7871
466	6883	7856
467	6897	7840
468	6912	7825
469	6927	7812
470	6942	7797
471	6958	7783
472	6975	7771
473	6990	7757
474	7005	7743
475	7020	7728
476	7033	7711
477	7048	7697
478	7064	7683
479	7077	7667
480	7091	7651
481	7104	7635
482	7118	7619
483	7133	7605
484	7147	7590
485	7161	7574
486	7176	7560
487	7190	7544
488	7204	7528
489	7218	7513
490	7233	7498
491	7248	7483
492	7262	7468
493	7275	7452
494	7289	7437
495	7303	7421
496	7317	7406
497	7332	7391
498	7345	7375
499	7359	7359
500	7373	7344
501	7388	7329
502	7401	7313
503	7416	7298
504	7430	7283
505	7443	7267
506	7458	7252
507	7472	7236
508	7485	7221
509	7500	7206
510	7514	7191
511	7528	7175
512	7542	7159
513	7555	7144
514	7570	7129
515	7586	7115
516	7600	7100
517	7614	7085
518	7628	7070
519	7642	7054
520	7656	7039
521	7670	7023
522	7683	7007
523	7696	6991
524	7710	6976
525	7724	6960
526	7739	6946
527	7753	6931
528	7766	6915
529	7780	6899
530	7796	6885
531	7811	6871
532	7826	6857
533	7841	6842
534	7854	6827
535	7870	6812
536	7884	6797
537	7897	6782
538	7911	6766
539	7925	6751
540	7939	6736
541	7954	6721
542	7967	6706
543	7981	6690
544	7996	6675
545	8009	6660
546	8024	6645
547	8040	6631
548	8054	6616
549	8067	6600
550	8080	6584
551	8094	6569
552	8108	6554
553	8122	6538
554	8136	6523
555	8150	6508
556	8164	6493
557	8178	6478
558	8191	6462
559	8204	6446
560	8218	6430
561	8231	6415
562	8246	6400
563	8260	6385
564	8273	6370
565	8287	6354
566	8301	6339
567	8316	6325
568	8329	6309
569	8343	6294
570	8358	6280
571	8372	6265
572	8385	6249
573	8400	6234
574	8413	6218
575	8426	6202
576	8440	6187
577	8454	6172
578	8467	6156
579	8481	6141
580	8496	6127
581	8510	6112
582	8524	6097
583	8539	6082
584	8555	6068
585	8571	6055
586	8586	6041
587	8600	6026
588	8613	6010
589	8627	5995
590	8641	5980
591	8655	5965
592	8669	5949
593	8682	5934
594	8696	5919
595	8711	5905
596	8726	5890
597	8741	5876
598	8755	5861
599	8770	5846
600	8785	5832
601	8799	5817
602	8813	5802
603	8826	5786
604	8840	5772
605	8854	5757
606	8868	5741
607	8881	5726
608	8896	5711
609	8910	5696
610	8924	5681
611	8939	5667
612	8952	5652
613	8966	5636
614	8980	5622
615	8996	5608
616	9011	5593
617	9027	5580
618	9042	5565
619	9058	5551
620	9072	5537
621	9088	5523
622	9104	5509
623	9118	5494
624	9134	5480
625	9149	5466
626	9163	5451
627	9178	5436
628	9192	5422
629	9207	5407
630	9222	5392
631	9235	5377
632	9250	5363
633	9264	5348
634	9278	5333
635	9291	5318
636	9306	5303
637	9319	5288
638	9334	5273
639	9349	5259
640	9363	5244
641	9376	5228
642	9390	5213
643	9404	5198
644	9417	5183
645	9431	5168
646	9445	5153
647	9459	5138
648	9473	5123
649	9486	5108
650	9500	5093
651	9514	5078
652	9528	5063
653	9541	5048
654	9557	5034
655	9571	5019
656	9586	5004
657	9600	4989
658	9613	4974
659	9628	4959
660	9641	4944
661	9655	4929
662	9668	4914
663	9682	4899
664	9697	4885
665	9712	4870
666	9727	4856
667	9741	4841
668	9756	4827
669	9770	4812
670	9783	4797
671	9797	4781
672	9810	4766
673	9824	4751
674	9838	4737
675	9852	4722
676	9865	4707
677	9880	4692
678	9894	4677
679	9908	4662
680	9922	4648
681	9936	4633
682	9949	4618
683	9963	4603
684	9976	4587
685	9990	4572
686	10005	4558
687	10019	4543
688	10033	4528
689	10047	4514
690	10061	4499
691	10077	4485
692	10093	4471
693	10106	4456
694	10122	4442
695	10135	4427
696	10149	4412
697	10163	4397
698	10176	4382
699	10191	4367
700	10205	4353
701	10219	4338
702	10233	4323
703	10247	4308
704	10263	4294
705	10278	4280
706	10292	4265
707	10306	4250
708	10320	4236
709	10335	4221
710	10348	4206
711	10361	4191
712	10375	4176
713	10389	4161
714	10403	4146
715	10418	4132
716	10433	4117
717	10447	4103
718	10461	4088
719	10474	4073
720	10488	4058
721	10502	4043
722	10517	4029
723	10530	4014
724	10545	3999
725	10558	3984
726	10571	3969
727	10585	3954
728	10599	3940
729	10613	3925
730	10628	3911
731	10642	3896
732	10656	3881
733	10670	3866
734	10684	3852
735	10698	3837
736	10712	3822
737	10726	3808
738	10740	3793
739	10754	3778
740	10768	3763
741	10782	3749
742	10796	3734
743	10810	3719
744	10824	3704
745	10837	3689
746	10850	3675
747	10865	3660
748	10878	3645
